itemname,category,year,itemunit,itemvalue
列管公廁個數/不分男女,連江縣,110,個,146
列管公廁個數/不分男女,金門縣,110,個,656
列管公廁個數/不分男女,嘉義市,110,個,269
列管公廁個數/不分男女,新竹市,110,個,311
列管公廁個數/不分男女,基隆市,110,個,477
列管公廁個數/不分男女,澎湖縣,110,個,163
列管公廁個數/不分男女,花蓮縣,110,個,1223
列管公廁個數/不分男女,臺東縣,110,個,373
列管公廁個數/不分男女,屏東縣,110,個,1980
列管公廁個數/不分男女,嘉義縣,110,個,964
列管公廁個數/不分男女,雲林縣,110,個,614
列管公廁個數/不分男女,南投縣,110,個,272
列管公廁個數/不分男女,彰化縣,110,個,5593
列管公廁個數/不分男女,苗栗縣,110,個,1297
列管公廁個數/不分男女,新竹縣,110,個,349
列管公廁個數/不分男女,宜蘭縣,110,個,428
列管公廁個數/不分男女,高雄市,110,個,4362
列管公廁個數/不分男女,臺南市,110,個,2446
列管公廁個數/不分男女,臺中市,110,個,2553
列管公廁個數/不分男女,桃園市,110,個,1093
列管公廁個數/不分男女,臺北市,110,個,5578
列管公廁個數/不分男女,新北市,110,個,3683
列管公廁個數/不分男女,總計,110,個,34830
列管公廁個數/女,連江縣,110,個,100
列管公廁個數/女,金門縣,110,個,314
列管公廁個數/女,嘉義市,110,個,1109
列管公廁個數/女,新竹市,110,個,1402
列管公廁個數/女,基隆市,110,個,1193
列管公廁個數/女,澎湖縣,110,個,610
列管公廁個數/女,花蓮縣,110,個,1531
列管公廁個數/女,臺東縣,110,個,794
列管公廁個數/女,屏東縣,110,個,1106
列管公廁個數/女,嘉義縣,110,個,1111
列管公廁個數/女,雲林縣,110,個,1318
列管公廁個數/女,南投縣,110,個,758
列管公廁個數/女,彰化縣,110,個,1715
列管公廁個數/女,苗栗縣,110,個,1805
列管公廁個數/女,新竹縣,110,個,2009
列管公廁個數/女,宜蘭縣,110,個,1682
列管公廁個數/女,高雄市,110,個,7183
列管公廁個數/女,臺南市,110,個,8168
列管公廁個數/女,臺中市,110,個,10230
列管公廁個數/女,桃園市,110,個,6752
列管公廁個數/女,臺北市,110,個,14457
列管公廁個數/女,新北市,110,個,5284
列管公廁個數/女,總計,110,個,70631
列管公廁個數/男,連江縣,110,個,132
列管公廁個數/男,金門縣,110,個,414
列管公廁個數/男,嘉義市,110,個,1423
列管公廁個數/男,新竹市,110,個,1669
列管公廁個數/男,基隆市,110,個,1728
列管公廁個數/男,澎湖縣,110,個,792
列管公廁個數/男,花蓮縣,110,個,2111
列管公廁個數/男,臺東縣,110,個,1127
列管公廁個數/男,屏東縣,110,個,1652
列管公廁個數/男,嘉義縣,110,個,2343
列管公廁個數/男,雲林縣,110,個,1831
列管公廁個數/男,南投縣,110,個,1967
列管公廁個數/男,彰化縣,110,個,2551
列管公廁個數/男,苗栗縣,110,個,2309
列管公廁個數/男,新竹縣,110,個,2638
列管公廁個數/男,宜蘭縣,110,個,2282
列管公廁個數/男,高雄市,110,個,9132
列管公廁個數/男,臺南市,110,個,11931
列管公廁個數/男,臺中市,110,個,13370
